6,"NICK KIKA
"
fd_client,string
fd_client,string
7,"NICK GAB
"
fd_client,string
fd_client,string
8,"NICK GIO
"
fd_client,string
fd_client,string
5,"USER RPR 0 * :RPR
"
fd_client,string
fd_client,string
6,"USER KIKA 0 * :KIKA
"
fd_client,string
fd_client,string
7,"USER GAB 0 * :GAB
"
fd_client,string
fd_client,string
8,"USER GIO 0 * :GIO
"
fd_client,string
fd_client,string
5,"JOIN #NS
"
fd_client,string
fd_client,string
6,"JOIN #TRAUMA
"
fd_client,string
fd_client,string
7,"JOIN #BIKE
"
fd_client,string
fd_client,string
8,"JOIN #PNL
"
fd_client,string
fd_client,string
5,"MODE #NS -i
"
fd_client,string
fd_client,string
5,"MODE #NS -t
MODE #NS +l 2
PRIVMSG #NS :OLA NEUROSEMANTICISTAS
"
fd_client,string
fd_client,string
7,"JOIN #NS
"
fd_client,string
fd_client,string
7,"PRIVMSG #NS :OLA PAI?
PRIVMSG #BIKE :OLA GALERA QUEM QUER PEGAR UMA TRILHA?
"
fd_client,string
fd_client,string
8,"PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
8,"JOIN #NS
PRIVMSG #NS :E AI PAI, TUDO BEM?
PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
fd_client,string
9,"CAP LS 302
PASS RPR
NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
6,"JOIN #BLA
"
fd_client,string
fd_client,string
6,"INVITE GIO #BLA
"
fd_client,string
fd_client,string
8,"JOIN #BLA
"
fd_client,string
fd_client,string
fd_client,string
fd_client,string
fd_client,string
fd_client,string
5,"PASS RPR
"
fd_client,string
fd_client,string
6,"PASS RPR
"
fd_client,string
fd_client,string
7,"PASS RPR
"
fd_client,string
fd_client,string
8,"PASS RPR
"
fd_client,string
fd_client,string
5,"NICK RPR
"
fd_client,string
fd_client,string
6,"NICK KIKA
"
fd_client,string
fd_client,string
7,"NICK GAB
"
fd_client,string
fd_client,string
8,"NICK GIO
"
fd_client,string
fd_client,string
5,"USER RPR 0 * :RPR
"
fd_client,string
fd_client,string
6,"USER KIKA 0 * :KIKA
"
fd_client,string
fd_client,string
7,"USER GAB 0 * :GAB
"
fd_client,string
fd_client,string
8,"USER GIO 0 * :GIO
"
fd_client,string
fd_client,string
5,"JOIN #NS
"
fd_client,string
fd_client,string
6,"JOIN #TRAUMA
"
fd_client,string
fd_client,string
7,"JOIN #BIKE
"
fd_client,string
fd_client,string
8,"JOIN #PNL
"
fd_client,string
fd_client,string
5,"MODE #NS -i
"
fd_client,string
fd_client,string
5,"MODE #NS -t
MODE #NS +l 2
PRIVMSG #NS :OLA NEUROSEMANTICISTAS
"
fd_client,string
fd_client,string
7,"JOIN #NS
"
fd_client,string
fd_client,string
7,"PRIVMSG #NS :OLA PAI?
PRIVMSG #BIKE :OLA GALERA QUEM QUER PEGAR UMA TRILHA?
"
fd_client,string
fd_client,string
8,"PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
8,"JOIN #NS
PRIVMSG #NS :E AI PAI, TUDO BEM?
PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
5,"NICK ABOBORA
"
fd_client,string
fd_client,string
fd_client,string
9,"CAP LS 302
PASS RPR
NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
fd_client,string
10,"CAP LS 302
"
fd_client,string
fd_client,string
10,"PASS RPR
NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
10,"NICK JUKA1
"
fd_client,string
fd_client,string
10,"NICK MARIA
"
fd_client,string
fd_client,string
10,"QUIT :Leaving
"
fd_client,string
fd_client,string
9,"QUIT :Leaving
"
fd_client,string
fd_client,string
5,"NICK ALTO
"
fd_client,string
fd_client,string
5,"
"
fd_client,string
fd_client,string
5,"NICK ALTO
"
fd_client,string
fd_client,string
5,"
"
fd_client,string
fd_client,string
5,"NICK ALTO
"
fd_client,string
fd_client,string
5,"
"
fd_client,string
fd_client,string
fd_client,string
fd_client,string
fd_client,string
fd_client,string
5,"PASS RPR
"
fd_client,string
fd_client,string
6,"PASS RPR
"
fd_client,string
fd_client,string
7,"PASS RPR
"
fd_client,string
fd_client,string
8,"PASS RPR
"
fd_client,string
fd_client,string
5,"NICK RPR
"
fd_client,string
fd_client,string
6,"NICK KIKA
"
fd_client,string
fd_client,string
7,"NICK GAB
"
fd_client,string
fd_client,string
8,"NICK GIO
"
fd_client,string
fd_client,string
5,"USER RPR 0 * :RPR
"
fd_client,string
fd_client,string
6,"USER KIKA 0 * :KIKA
"
fd_client,string
fd_client,string
7,"USER GAB 0 * :GAB
"
fd_client,string
fd_client,string
8,"USER GIO 0 * :GIO
"
fd_client,string
fd_client,string
5,"JOIN #NS
"
fd_client,string
fd_client,string
6,"JOIN #TRAUMA
"
fd_client,string
fd_client,string
7,"JOIN #BIKE
"
fd_client,string
fd_client,string
8,"JOIN #PNL
"
fd_client,string
fd_client,string
5,"MODE #NS -i
"
fd_client,string
fd_client,string
5,"MODE #NS -t
MODE #NS +l 2
PRIVMSG #NS :OLA NEUROSEMANTICISTAS
"
fd_client,string
fd_client,string
7,"JOIN #NS
"
fd_client,string
fd_client,string
7,"PRIVMSG #NS :OLA PAI?
PRIVMSG #BIKE :OLA GALERA QUEM QUER PEGAR UMA TRILHA?
"
fd_client,string
fd_client,string
8,"PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
8,"JOIN #NS
PRIVMSG #NS :E AI PAI, TUDO BEM?
PRIVMSG #PNL :LEMBREM-SE DE QUE O MAPA NAO É O TERRITORIO
"
fd_client,string
fd_client,string
fd_client,string
9,"CAP LS 302
PASS RPR
"
fd_client,string
fd_client,string
9,"NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
9,"QUIT :Leaving
"
fd_client,string
fd_client,string
fd_client,string
9,"CAP LS 302
PASS RPR
"
fd_client,string
fd_client,string
9,"NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
9,"QUIT :Leaving
"
fd_client,string
fd_client,string
fd_client,string
9,"CAP LS 302
PASS RPR
NICK JUKA
USER JOAO DO OSSO 0 * :JOAO
"
fd_client,string
fd_client,string
9,"NICK TARZAM
"
fd_client,string
fd_client,string
9,"NICK JANE
"
fd_client,string
fd_client,string
9,"JOIN #CHITA
"
fd_client,string
fd_client,string
9,"USER JANE 0 * :JANE
"
fd_client,string
fd_client,string
9,"NICK TARZAM
"
fd_client,string
fd_client,string
9,"QUIT :Leaving
"
fd_client,string
